source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LGALS1,CD69,2.0823388,0.0,3.3818383,0.6614304807291892,1.0152825639528538,0.117421135,0.95819867,0.026166805625894393,0.0001708333551539462
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,VIM,CD44,2.0214913,0.0,3.8826172,0.14639011085145148,0.4439431351850136,0.07391418,0.96087843,0.24677594296796343,0.0002985438177091276
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,FN1,CD44,1.4791081,0.118,2.1794922,0.1228480085151723,-0.4294799279424384,0.09089136,0.9484591,1.0,0.006587785168164547
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,MIF,CD44_CD74,1.4209962,1.0,1.8907815,-0.6139865308131257,-1.6116778591450727,0.023677647,0.9448731,1.0,0.008299495375679498
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,SPP1,CD44,1.3961785,0.0,1.9190869,0.16536946567605226,-0.09457382222732935,0.097549126,0.9452588,0.5630658770949706,0.009547821909413022
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,TIMP1,CD63,1.3350103,0.007,1.4142612,0.06723057621495396,0.14598204871350395,0.056349423,0.9368033,0.8479147462028107,0.01304078995958885
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,PKM,CD44,1.2280204,0.001,1.3910581,0.07810872066618305,0.2968612013791583,0.079792164,0.93631184,0.3371089002679294,0.022082141668283574
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,S100A8,CD69,1.6405845,0.0,0.67899126,0.9159226779217856,1.3498938476600335,0.22550145,0.9112783,0.006692942624220205,0.03163482326896051
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,FN1,PLAUR,1.157351,1.0,1.2861803,-0.0999916166304407,-0.7366642738638816,0.06751529,0.9339343,1.0,0.03427832014401621
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD99,CD81,1.1402229,1.0,1.2616483,-0.2645166750566482,-0.18853315170852247,0.047926515,0.9333376,1.0,0.036250334597423536
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-A,APLP2,1.2974817,1.0,0.587787,-0.49693783604746566,-0.7125418504971882,0.02501631,0.90527165,1.0,0.04348007510837571
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,GNAS,ADRB2,1.0680906,0.0,0.8074614,0.43681428480214357,0.573627587502535,0.15843092,0.9180383,0.02072009880313421,0.04689259482636786
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,TIMP2,CD44,1.0402784,0.0,0.8015334,0.06921128716784067,0.2855818677117058,0.081284985,0.9177607,0.28227799378175034,0.05223895409705512
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HBEGF,CD9,1.1073104,0.0,0.5174922,0.556425542429301,0.8111205711104356,0.10801072,0.8996677,0.07811018933958794,0.05843249015736326
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,MIF,TNFRSF14,1.0180994,1.0,0.45695817,-0.12480704039938044,0.16273239964593333,0.044466745,0.8939118,1.0,0.07500070985011315
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,AGTRAP,RACK1,1.3111081,0.0,0.45197234,0.10703924231217549,0.31209199105090024,0.052047238,0.8933905,0.2908532021078876,0.07630415807527621
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,SELE,CD44,0.946995,0.0,0.50861645,1.0703799580038391,1.3042387675014058,0.36902913,0.8988842,0.0009303080563326196,0.08343086702739949
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,APP,CD74,0.9281732,1.0,0.8434351,-0.5933739024801515,-1.818898198120972,0.030475521,0.9196633,1.0,0.09275000012983445
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,COL4A2,CD44,0.92762494,0.0,0.4477929,0.6960316381255349,0.8259354282884565,0.28837797,0.89294726,0.0068795494473126014,0.09298878084531784
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LGALS9,CD44,0.9276072,0.0,0.4477371,0.1228052673883302,0.3197985285821378,0.07374863,0.8929413,0.24677594296796343,0.09322784296405125
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,VEGFA,CD44,0.9273678,0.0,0.4469855,0.0589045188606028,0.24134525447146837,0.05011485,0.89286095,0.5914788837984174,0.0937067983177246
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,MYL9,CD69,1.5973736,0.0,0.4146077,0.9059517672492066,1.253974453485672,0.23011035,0.8892109,0.00760354033151628,0.09490911035535196
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HBEGF,CD44,0.91776943,0.0,0.41684577,0.13225005123523415,0.24042618573859464,0.08095339,0.8894759,0.28568495886782175,0.09978838013176185
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HSPA8,ADRB2,0.9144416,0.999,0.65666395,0.3438252996089615,0.32063381837543314,0.12603612,0.90991735,0.43039281031190746,0.10028244652056859
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LGALS1,PTPRC,0.9090091,1.0,0.78770536,-0.3915759995122944,-0.4546227468647813,0.039425977,0.91710156,1.0,0.103019713983004
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LAMA4,CD44,0.90924805,0.0,0.39008808,0.2813261233344755,0.4804147641438156,0.13890578,0.8861724,0.028321459444051705,0.10782665436714985
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,VCAN,CD44,0.90907776,0.0,0.38955337,0.2811664363800087,0.44220633945500476,0.1400781,0.8861032,0.027184686687405483,0.10833844063190218
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,COL4A1,CD44,0.90666896,0.0,0.38198957,0.758830127291555,0.8071784913091086,0.31959468,0.88511,0.0033394950179061558,0.11143227148005
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ADAM10,CD44,0.9038843,0.0,0.37324548,0.1263449879284312,0.3227753123913315,0.07840998,0.8839273,0.24677594296796343,0.11880429347794319
