source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Source_Tumor_CSC,Target_PBMC_NK,VIM,CD44,1.917677,1.0,3.3691638,-0.08773234824043719,0.7256104778508072,0.34137887,0.95594966,1.0,0.0013463455033205568
Source_Tumor_CSC,Target_PBMC_NK,HLA-B,CD3D,1.7775607,1.0,2.0865479,-0.38483255104286895,0.5489714900504591,0.4226191,0.9446844,1.0,0.0028201761669259693
Source_Tumor_CSC,Target_PBMC_NK,APP,CD74,1.7772814,0.0,2.1913898,0.36011282589113003,-0.025028745236292504,0.3534395,0.9459514,0.9294500899755752,0.0030167740678405316
Source_Tumor_CSC,Target_PBMC_NK,HLA-B,CD8A,1.6808808,1.0,1.5425296,-0.39227080184106733,0.456525272408715,0.4310869,0.9362404,1.0,0.004333351517120467
Source_Tumor_CSC,Target_PBMC_NK,B2M,KLRD1,2.19138,1.0,1.4607837,-0.13255218503534152,0.3841990262083069,0.46147922,0.9345957,1.0,0.0045755349666383605
Source_Tumor_CSC,Target_PBMC_NK,MIF,CD44_CD74,1.5709016,0.0,2.4242632,0.22177302581607844,1.2978259590048722,0.41245928,0.9484757,0.08285706671473296,0.006745542901458504
Source_Tumor_CSC,Target_PBMC_NK,HLA-A,APLP2,1.5465537,1.0,1.755549,-0.3267493360137141,-0.16470809614963444,0.2552158,0.9399941,1.0,0.007045736195234511
Source_Tumor_CSC,Target_PBMC_NK,CADM1,CRTAM,0.06022734,0.0,0.0035670002,0.07441042876198267,0.13228894718127399,0.5687815,0.41387352,0.355598126162792,0.008279664280639426
Source_Tumor_CSC,Target_PBMC_NK,HLA-A,CD8A,1.4462423,1.0,1.285244,-0.30837593603030117,0.5185023881076074,0.42888996,0.93057233,1.0,0.01114517263953508
Source_Tumor_CSC,Target_PBMC_NK,MIF,CD74_CXCR4,1.4351041,0.0,1.9409887,0.17316830775457911,0.3336647713586325,0.261196,0.9427643,0.5862350610841293,0.012312430584788751
Source_Tumor_CSC,Target_PBMC_NK,HLA-B,CD8B,1.6119143,1.0,1.154455,-0.3972749070504563,0.3393491491866978,0.4326904,0.92702436,1.0,0.012714085327172008
Source_Tumor_CSC,Target_PBMC_NK,HLA-C,CD8A,1.3854835,1.0,1.2186208,-0.38918968668420795,0.3316815774365345,0.40788156,0.928833,1.0,0.015255402273151471
Source_Tumor_CSC,Target_PBMC_NK,HLA-B,LILRB2,1.5952163,1.0,1.0604951,-0.398627803579323,0.0040477689305695175,0.3779223,0.9241003,1.0,0.015255402273151471
Source_Tumor_CSC,Target_PBMC_NK,HLA-B,KLRD1,1.5884712,1.0,1.0225407,-0.39843616890074046,0.18874742021291013,0.41687793,0.9228122,1.0,0.01615236062513287
Source_Tumor_CSC,Target_PBMC_NK,FN1,CD44,1.3752939,0.0,1.8912672,0.9860213704087502,2.446252426875663,0.72941005,0.9420601,0.0017524113897017094,0.0170741341868786
Source_Tumor_CSC,Target_PBMC_NK,LGALS1,PTPRC,1.346364,1.0,1.7546601,-0.1250684406572136,0.38215604842202944,0.29405367,0.9399798,1.0,0.01998767927932298
Source_Tumor_CSC,Target_PBMC_NK,HLA-A,CD8B,1.3772758,1.0,0.961898,-0.31338004123969015,0.4013262648855902,0.43048534,0.9206065,1.0,0.01998767927932298
Source_Tumor_CSC,Target_PBMC_NK,RPS19,C5AR1,1.4861082,1.0,0.9156384,-0.3954481148833681,-0.7507542240054312,0.19541962,0.9187866,1.0,0.02205289936866992
Source_Tumor_CSC,Target_PBMC_NK,HLA-C,CD8B,1.316517,1.0,0.9120361,-0.39419379189359693,0.21450545421451728,0.40939876,0.9186394,1.0,0.023122163875063818
Source_Tumor_CSC,Target_PBMC_NK,SPP1,CD44,1.2923642,0.0,1.6652989,0.8889123726405289,2.523731489438721,0.73090017,0.93848825,0.009304192521904448,0.024215776795054635
Source_Tumor_CSC,Target_PBMC_NK,HLA-A,LILRB2,1.3605778,1.0,0.88361025,-0.3147329377685568,0.06602488462946193,0.37599632,0.9174483,1.0,0.025901703576795953
Source_Tumor_CSC,Target_PBMC_NK,TXLNA,STX3,0.06734871,0.996,0.004428319,-0.024365333220309957,-0.18311324297963052,0.17901763,0.44032884,1.0,0.027539607114223312
Source_Tumor_CSC,Target_PBMC_NK,HLA-C,LILRB2,1.299819,1.0,0.8378065,-0.3955466884224636,-0.12079592604161099,0.3575788,0.91541,1.0,0.03066289575595002
Source_Tumor_CSC,Target_PBMC_NK,COPA,CD74,1.5169194,1.0,0.75376636,-0.062229222478965104,-0.7698377095705338,0.20723413,0.9112265,1.0,0.036476398012459985
Source_Tumor_CSC,Target_PBMC_NK,HMGB1,CXCR4,1.1737812,1.0,1.3708788,-0.10715273549877669,-0.3422307256004158,0.21352877,0.9326273,1.0,0.03783344226291696
Source_Tumor_CSC,Target_PBMC_NK,HLA-E,CD8A,1.1566554,1.0,0.9677064,-0.19320202402068362,0.6989084891500132,0.4353139,0.92082626,1.0,0.04061810865452019
Source_Tumor_CSC,Target_PBMC_NK,CCN2,ITGB2,1.1548644,0.0,0.99253154,0.7083838537286485,1.9809861970748135,0.822427,0.92174476,0.001758520400964156,0.042045597425390685
Source_Tumor_CSC,Target_PBMC_NK,MIF,TNFRSF14,1.1300168,0.0,0.85524815,0.1890939222853594,0.688465440995472,0.3203519,0.9162044,0.34064839157821397,0.04349643433278995
Source_Tumor_CSC,Target_PBMC_NK,B2M,KLRC1,2.0695019,1.0,0.48104888,-0.14401847984540195,0.06976851192754024,0.45955062,0.89130557,1.0,0.04399562680349026
Source_Tumor_CSC,Target_PBMC_NK,PKM,CD44,1.1242063,1.0,1.2070987,-0.11557365839929878,0.4522786107346397,0.30425176,0.92851835,1.0,0.04423058749858229
Source_Tumor_CSC,Target_PBMC_NK,RSPO3,SDC4,0.07273122,0.0,0.0052897013,0.3091985627148298,0.12628175998359029,0.62427443,0.46233234,0.3661067134083606,0.049449547842023295
Source_Tumor_CSC,Target_PBMC_NK,B2M,KLRC2,2.0618773,1.0,0.41975754,-0.14479847419209593,0.05119719142392892,0.4680153,0.8845254,1.0,0.04946464307099398
Source_Tumor_CSC,Target_PBMC_NK,HLA-E,KLRK1,1.0990819,1.0,0.7644659,-0.19522872031290303,0.47739945033228026,0.42642614,0.91179496,1.0,0.049531929624917065
Source_Tumor_CSC,Target_PBMC_NK,HLA-E,CD8B,1.0876889,1.0,0.7242476,-0.1982061292300726,0.581732365927996,0.4369332,0.9095974,1.0,0.05109850693789198
Source_Tumor_CSC,Target_PBMC_NK,CCN1,ITGB2,1.0780756,0.0,0.72546464,0.6151265931993726,1.8257123409117417,0.8224468,0.9096664,0.005468824502012344,0.05349137961643906
Source_Tumor_CSC,Target_PBMC_NK,HLA-B,LILRB1,1.5199221,1.0,0.6368151,-0.40591740014467875,-0.14932380516971003,0.35156122,0.9041666,1.0,0.05593566029047416
Source_Tumor_CSC,Target_PBMC_NK,S100A9,ITGB2,1.0540463,1.0,0.64189184,-0.29454949409983117,-1.2771266189634884,0.11586182,0.90451,1.0,0.057593629595427784
Source_Tumor_CSC,Target_PBMC_NK,FN1,PLAUR,1.0398548,0.0,0.9599691,0.9516849305332877,1.9544501809277648,0.55890876,0.9205331,0.014697880170443364,0.060123090123408884
Source_Tumor_CSC,Target_PBMC_NK,HLA-DRA,CD4,1.0816574,0.0,0.5869976,0.2549213996349964,0.9420456057059576,0.44592106,0.9005788,0.052840293692707256,0.06801541843347365
Source_Tumor_CSC,Target_PBMC_NK,FN1,ITGA4_ITGB1,1.0001737,0.0,0.8498004,0.9519099114948094,1.9395199394349678,0.5497982,0.9159587,0.016885328008123146,0.06892030641105851
Source_Tumor_CSC,Target_PBMC_NK,COL6A1,ITGA6,0.07516003,0.0,0.005628625,0.19412559109658947,-0.13259956220880148,0.24023162,0.47005963,1.0,0.08211216423691257
Source_Tumor_CSC,Target_PBMC_NK,HLA-A,LILRB1,1.2852837,1.0,0.53059775,-0.3220225343339126,-0.08734668947081761,0.3497696,0.8959641,1.0,0.08315639306779352
Source_Tumor_CSC,Target_PBMC_NK,AGTRAP,RACK1,1.4813994,1.0,0.5151446,-0.18202333196150014,-0.04672092234911751,0.14109765,0.89457846,1.0,0.08716045963829427
Source_Tumor_CSC,Target_PBMC_NK,ADA,DPP4,0.07526451,1.0,0.0056361207,-0.04879274542902647,-0.05996012230710143,0.21471564,0.47022536,1.0,0.08753239042197702
Source_Tumor_CSC,Target_PBMC_NK,CD14,ITGB2,1.0146545,1.0,0.5048899,-0.11480726959452682,0.5307629316690929,0.24451819,0.8936266,1.0,0.09125097148504807
Source_Tumor_CSC,Target_PBMC_NK,HLA-C,LILRB1,1.2245249,1.0,0.5030931,-0.40283628498781937,-0.2741675001418905,0.33263674,0.893457,1.0,0.09228704588100689
Source_Tumor_CSC,Target_PBMC_NK,TIMP2,CD44,0.9364642,0.0,0.6955353,0.13656861887598237,0.8927303247963461,0.42868647,0.90792036,0.06428174066081303,0.0996892331246165
Source_Tumor_CSC,Target_PBMC_NK,PIGF,FLT1,0.07733319,0.794,0.005952052,-0.0010655593186872578,-0.4301581122787852,0.11674001,0.4770238,1.0,0.1091461634701246
Source_Tumor_CSC,Target_PBMC_NK,SPP1,ITGA4_ITGB1,0.9172441,0.0,0.7482664,0.8548009137265882,2.016999001998025,0.5509213,0.91092986,0.01200970664587976,0.11071387979906609
Source_Tumor_CSC,Target_PBMC_NK,LGALS9,PTPRC,0.93622303,0.325,0.45265117,-0.021771618997945975,0.44134525968257515,0.30427864,0.88832283,1.0,0.11071387979906609
